sample #,date,conce,change,point,depth,date2,landuse,soy_age,conce_running,jar_vol_mL,jar_vol_L,soil_mass_g,conversion_mgC_mLair,days_accum,C_evolv_mgC_gsoil_day,cumCO2
1,10/10/2014,5920.8,NA,FP1,0-10,1,forest,forest,5920.8,1042.67,1.042669422,99.94,0.000495868,1,0.0306,0.0306
2,10/10/2014,236.4,NA,FP1,40-50,1,forest,forest,236.4,1013.71,1.013712393,85,0.000495868,1,0.0014,0.032
3,10/10/2014,487.6,NA,FP1,190-200,1,forest,forest,487.6,973.03,0.973025934,99.97,0.000495868,1,0.0024,0.0344
4,10/10/2014,8285.2,NA,FP3,0-10,1,forest,forest,8285.2,1011.16,1.011155328,100.02,0.000495868,1,0.0415,0.0415
5,10/10/2014,329.3,NA,FP3,40-50,1,forest,forest,329.3,952.11,0.952109333,100.01,0.000495868,1,0.0016,0.0431
6,10/10/2014,345.7,NA,FP3,190-200,1,forest,forest,345.7,965.96,0.965958115,99.97,0.000495868,1,0.0017,0.0448
7,10/10/2014,1541.1,NA,FP4,0-10,1,forest,forest,1541.1,973.03,0.973025934,59.98,0.000495868,1,0.0124,0.0124
8,10/10/2014,244.9,NA,FP4,40-50,1,forest,forest,244.9,953.25,0.953249071,99.97,0.000495868,1,0.0012,0.0136
9,10/10/2014,505.3,NA,FP4,190-200,1,forest,forest,505.3,946.45,0.94644898,100.02,0.000495868,1,0.0024,0.016
10,10/10/2014,26196.6,NA,FP7,0-10,1,forest,forest,26196.6,949.84,0.949837552,100.01,0.000495868,1,0.1234,0.1234
11,10/10/2014,1416.6,NA,FP7,40-50,1,forest,forest,1416.6,989.9,0.98990328,99.98,0.000495868,1,0.007,0.1304
12,10/10/2014,495.7,NA,FP7,190-200,1,forest,forest,495.7,976.6,0.976596571,99.98,0.000495868,1,0.0024,0.1328
13,10/10/2014,5747.6,NA,S03P1,0-10,1,soy,old,5747.6,944.2,0.944202567,100.02,0.000495868,1,0.0269,0.0269
14,10/10/2014,229,NA,S03P1,40-50,1,soy,old,229,947.58,0.947575969,99.96,0.000495868,1,0.0011,0.028
15,10/10/2014,450.5,NA,S03P1,190-200,1,soy,old,450.5,955.54,0.95553628,99.98,0.000495868,1,0.0021,0.0301
16,10/10/2014,8673.8,NA,S07P2,0-10,1,soy,young,8673.8,1123.96,1.123963034,99.97,0.000495868,1,0.0484,0.0484
17,10/10/2014,641.4,NA,S07P2,40-50,1,soy,young,641.4,932.39,0.932389447,100.03,0.000495868,1,0.003,0.0514
18,10/10/2014,336.8,NA,S07P2,190-200,1,soy,young,336.8,934.58,0.934583141,100.02,0.000495868,1,0.0016,0.053
19,10/10/2014,6928.4,NA,S08P3,0-10,1,soy,young,6928.4,920.85,0.920851651,79.98,0.000495868,1,0.0396,0.0396
20,10/10/2014,447.4,NA,S08P3,40-50,1,soy,young,447.4,969.48,0.969479867,99.99,0.000495868,1,0.0022,0.0418
21,10/10/2014,644.8,NA,S08P3,190-200,1,soy,young,644.8,929.48,0.929479566,99.99,0.000495868,1,0.003,0.0448
22,10/10/2014,3858.3,NA,S08P5,0-10,1,soy,young,3858.3,935.32,0.935316534,100.01,0.000495868,1,0.0179,0.0179
23,10/10/2014,1314.5,NA,S08P5,40-50,1,soy,young,1314.5,936.42,0.936418658,99.99,0.000495868,1,0.0061,0.024
24,10/10/2014,446.1,NA,S08P5,190-200,1,soy,young,446.1,916.59,0.916594003,100.01,0.000495868,1,0.002,0.026
25,10/10/2014,5629.9,NA,S03P4,0-10,1,soy,old,5629.9,976.6,0.976596571,70.4176,0.000495868,1,0.0387,0.0387
26,10/10/2014,708.1,NA,S03P4,40-50,1,soy,old,708.1,952.11,0.952109333,57.2176,0.000495868,1,0.0058,0.0445
27,10/10/2014,425.6,NA,S03P4,190-200,1,soy,old,425.6,977.79,0.977792286,52.7648,0.000495868,1,0.0039,0.0484
28,10/10/2014,5479.1,NA,S03P6,0-10,1,soy,old,5479.1,943.08,0.943083126,99.98,0.000495868,1,0.0256,0.0256
29,10/10/2014,301.8,NA,S03P6,40-50,1,soy,old,301.8,973.03,0.973025934,99.99,0.000495868,1,0.0015,0.0271
30,10/10/2014,560.4,NA,S03P6,190-200,1,soy,old,560.4,963.62,0.963623667,65.9736,0.000495868,1,0.0041,0.0312
32,10/10/2014,305.9,NA,FP1,90-100,1,forest,forest,305.9,913.78,0.913776095,99.98,0.000495868,1,0.0014,
34,10/10/2014,304.2,NA,FP3,90-100,1,forest,forest,304.2,954.39,0.954391383,100.02,0.000495868,1,0.0014,
36,10/10/2014,441.6,NA,FP4,90-100,1,forest,forest,441.6,950.97,0.950972163,99.98,0.000495868,1,0.0021,
