Other ID,d13C,13C_SE,FM,FM_SE,?14C,14C_SE,14C_age_BP,14C_age_SE,samle_type,year_samp,yield_mg_ext,perc_C,point,depth,BD,%clay,land_use,year_conv,acidified,profiles,C_cont_in_interval_g_m2,clay_cat,C_cont_of_profile_g_m2,%C4,%C3,%C4_depth_correct,%C3_depth_correct,lab
2009_FP1_10,-28.6,0.15,1.1199,0.0022,111.2,2.2,>Modern,,BS,2009,1.27,2.95,FP1,10,,43,forest,2020,no,yes,,high,,-3.75,103.75,-3.75,103.75,MBL/Irvine
2009_FP1_20,-27.4,0.15,1.0884,0.0021,80.1,2.1,>Modern,,BS,2009,2.22,1.83,FP1,20,,43,forest,2020,no,yes,,high,,3.75,96.25,-5.546875,105.546875,MBL/Irvine
2009_FP1_50,-25.5,0.15,0.9374,0.0019,-69.8,1.9,520,20,BS,2009,1.41,0.74,FP1,50,,48,forest,2020,no,yes,,high,,15.625,84.375,-3.671875,103.671875,MBL/Irvine
2009_FP1_100,-24.6,0.15,0.7629,0.0015,-242.9,1.5,2175,20,BS,2009,1.15,0.39,FP1,100,,53,forest,2020,no,yes,,high,,21.25,78.75,-3.359375,103.359375,MBL/Irvine
2009_FP1_200,-22.8,0.15,0.6505,0.0013,-354.5,1.3,3455,20,BS,2009,1.19,0.31,FP1,200,,53,forest,2020,no,yes,,high,,32.5,67.5,2.421875,97.578125,MBL/Irvine
2009_FP3_10,-26.6,0.15,1.1414,0.0022,132.6,2.2,>Modern,,BS,2009,1.07,1.63,FP3,10,,23,forest,2020,no,yes,,low,,8.75,91.25,8.75,91.25,MBL/Irvine
2009_FP3_20,-25.9,0.15,1.0467,0.0021,38.6,2.1,>Modern,,BS,2009,1.34,0.79,FP3,20,,18,forest,2020,no,yes,,low,,13.125,86.875,3.828125,96.171875,MBL/Irvine
2009_FP3_50,-25.4,0.15,0.9445,0.0018,-62.8,1.8,460,20,BS,2009,1.39,0.42,FP3,50,,28,forest,2020,no,yes,,low,,16.25,83.75,-3.046875,103.046875,MBL/Irvine
2009_FP3_100,-25.2,0.15,0.8941,0.0017,-112.8,1.7,900,20,BS,2009,1.61,0.32,FP3,100,,30,forest,2020,no,yes,,low,,17.5,82.5,-7.109375,107.109375,MBL/Irvine
2009_FP3_200,-24.6,0.15,0.7015,0.0016,-303.9,1.6,2850,20,BS,2009,1.02,0.2,FP3,200,,30,forest,2020,no,yes,,low,,21.25,78.75,-8.828125,108.828125,MBL/Irvine
2009_FP4_10,-27.8,0.15,1.1112,0.0023,102.7,2.3,>Modern,,BS,2009,0.85,2.66,FP4,10,,45,forest,2020,no,yes,,high,,1.25,98.75,1.25,98.75,MBL/Irvine
2009_FP4_20,-27.4,0.15,1.0969,0.0021,88.4,2.1,>Modern,,BS,2009,1.39,2,FP4,20,,NA,forest,2020,no,yes,,high,,3.75,96.25,-5.546875,105.546875,MBL/Irvine
2009_FP4_50,-25.5,0.15,0.9569,0.0019,-50.5,1.9,355,20,BS,2009,1.34,0.93,FP4,50,,NA,forest,2020,no,yes,,high,,15.625,84.375,-3.671875,103.671875,MBL/Irvine
2009_FP4_100,-23.9,0.15,0.7666,0.0015,-239.3,1.5,2135,20,BS,2009,1.07,0.48,FP4,100,,NA,forest,2020,no,yes,,high,,25.625,74.375,1.015625,98.984375,MBL/Irvine
2009_FP4_200,-22.5,0.15,0.5648,0.0012,-439.5,1.2,4590,20,BS,2009,1.07,0.37,FP4,200,,NA,forest,2020,no,yes,,high,,34.375,65.625,4.296875,95.703125,MBL/Irvine
2009_FP7_10,-27.2,0.15,1.1045,0.0021,96,2.1,>Modern,,BS,2009,1.49,3.27,FP7,10,,28,forest,2020,no,yes,,low,,5,95,5,95,MBL/Irvine
2009_FP7_20,-25.3,0.15,1.0039,0.002,-3.8,2,-25,20,BS,2009,1.36,1.32,FP7,20,,NA,forest,2020,no,yes,,low,,16.875,83.125,7.578125,92.421875,MBL/Irvine
2009_FP7_50,-24.2,0.15,0.911,0.0018,-96,1.8,750,20,BS,2009,1.9,0.8,FP7,50,,NA,forest,2020,no,yes,,low,,23.75,76.25,4.453125,95.546875,MBL/Irvine
