YEAR,Atmosphere,DEL 14 Bulk,14C OF CO2,Del pool 1,Del pool 2
1908,-7.4,-6.219442178,-5.278518207,-5.201323302,-6.655778839
1909,-7.7,-6.162595362,-5.401684071,-5.339257693,-6.515454364
1910,-8,-6.142528829,-5.626004409,-5.58362792,-6.382057789
1911,-8.3,-6.138203674,-5.885305447,-5.864557272,-6.255480703
1912,-8.6,-6.142344713,-6.156853791,-6.158044139,-6.135616387
1913,-8.9,-6.152405154,-6.432837229,-6.455844324,-6.022359796
1914,-9.2,-6.167463089,-6.71056881,-6.755126071,-5.915607525
1915,-9.5,-6.187155467,-6.989122089,-7.054916712,-5.815257791
1916,-9.8,-6.211311926,-7.268175383,-7.35488215,-5.721210402
1917,-10.1,-6.239829001,-7.547614793,-7.654907628,-5.633366732
1918,-10.4,-6.27262691,-7.827397839,-7.95495373,-5.551629702
1919,-10.7,-6.309634699,-8.10750663,-8.255006915,-5.475903749
1920,-11,-6.350785126,-8.387931769,-8.555062533,-5.406094808
1921,-11.47,-6.396012896,-8.668666828,-8.855118987,-5.342110285
1922,-11.94,-6.445254042,-8.949706452,-9.155175728,-5.283859033
1923,-12.41,-6.498445705,-9.2310457,-9.455232568,-5.231251336
1924,-12.88,-6.555526046,-9.512679822,-9.755289442,-5.184198876
1925,-13.35,-6.616434204,-9.794604185,-10.05534633,-5.142614723
1926,-13.82,-6.681110276,-10.07681424,-10.35540322,-5.106413302
1927,-14.29,-6.749495299,-10.35930551,-10.65546011,-5.075510382
1928,-14.76,-6.856896864,-10.74791995,-11.0671457,-5.052504507
1929,-15.23,-6.981242694,-11.17325472,-11.51717408,-5.0372721
1930,-15.7,-7.114895852,-11.61146678,-11.98037264,-5.029691515
1931,-16.17,-7.255178595,-12.05436227,-12.44809496,-5.029643009
1932,-16.64,-7.401117439,-12.49912264,-12.91737113,-5.037008714
1933,-17.11,-7.552325131,-12.94477576,-13.38718102,-5.051672608
1934,-17.58,-7.708616608,-13.39098376,-13.85717423,-5.073520482
1935,-18.05,-7.869877067,-13.8376267,-14.32723042,-5.102439916
1936,-18.52,-8.036016643,-14.28465958,-14.79730823,-5.138320248
