point,depth,C_evolv_mgC_gsoil_day,bulk soil%C,bulksoilmgC_gsoil,timetoresp_d,timetoresp_yr,land_use
FP1,10,0.02772,2.4,24,865.8008658,2.372057167,forest
FP3,10,0.02777,1.63,16.3,586.96435,1.608121507,forest
FP4,10,0.04169,3.4,34,815.5432958,2.234365194,forest
FP7,10,0.04246,2.16,21.6,508.7140838,1.393737216,forest
S03P1,10,0.00826,0.33,3.3,399.5157385,1.094563667,soy
S03P4,10,0.01262,1.28,12.8,1014.263074,2.778802944,soy
S03P6,10,0.00936,1.95,19.5,2083.333333,5.707762557,soy
S07P2,10,0.02064,0.58,5.8,281.0077519,0.769884252,soy
S08P3,10,0.01325,1.31,13.1,988.6792453,2.708710261,soy
S08P5,10,0.00666,1.95,19.5,2927.927928,8.02172035,soy
FP1,50,0.00051,0.53,5.3,10392.15686,28.47166264,forest
FP3,50,0.00163,1.41,14.1,8650.306748,23.69947054,forest
FP4,50,0.00051,0.72,7.2,14117.64706,38.67848509,forest
FP7,50,0.00288,0.43,4.3,1493.055556,4.090563166,forest
S03P1,50,0.00097,0.55,5.5,5670.103093,15.53452902,soy
S03P4,50,0.00278,0.67,6.7,2410.071942,6.602936829,soy
S03P6,50,0.00051,0.69,6.9,13529.41176,37.06688155,soy
S07P2,50,0.0022,1.15,11.5,5227.272727,14.32129514,soy
S08P3,50,0.00063,0.49,4.9,7777.777778,21.30898021,soy
S08P5,50,0.00258,0.54,5.4,2093.023256,5.73431029,soy
FP1,100,0.00056,0.35,3.5,6250,17.12328767,forest
FP3,100,0.0006,1.83,18.3,30500,83.56164384,forest
FP4,100,0.0005375,0.46,4.6,8558.139535,23.44695763,forest
S03P1,100,0.00046,0.31,3.1,6739.130435,18.46337105,soy
S07P2,100,0.00075,1.18,11.8,15733.33333,43.10502283,soy
S08P3,100,0.00075,0.35,3.5,4666.666667,12.78538813,soy
FP1,200,0.00075,0.26,2.6,3466.666667,9.497716895,forest
FP3,200,0.00049,1.57,15.7,32040.81633,87.78305843,forest
FP4,200,0.000657143,0.37,3.7,5630.434783,15.42584872,forest
FP7,200,0.00066,0.24,2.4,3636.363636,9.9626401,forest
S03P1,200,0.0007,0.25,2.5,3571.428571,9.784735812,soy
S03P4,200,0.00116,0.35,3.5,3017.241379,8.266414738,soy
S03P6,200,0.000877778,0.35,3.5,3987.341772,10.92422403,soy
S07P2,200,0.000411111,1.51,15.1,36729.72973,100.6293965,soy
S08P3,200,0.000655556,0.29,2.9,4423.728814,12.11980497,soy
S08P5,200,0.00058,0.2,2,3448.275862,9.447331129,soy
